State,Name
NSW,ᎠᏤ ᏧᎦᎾᏮ Ꮹ⁠Ꮄ⁠Ꮝ
QLD,ᎤᎬᏫᏳ ᎠᏂᏁᎳ-ᎦᏙᎯ
SA,ᎤᎦᏃᏮ ᎡᎳᏗᏜ
TAS,ᏔᏍᎺᏂᎠ
VIC,ᏫᎩᏙᎠ
WA,ᏭᏕᎵᎬᏗᏢ ᏒᎳᏗᏜ
ACT,ᏒᎳᏗᏜ ᎠᏰᎵ ᏗᎦᎳᏫᎢᏍᏗ ᎿᎾ ᎨᏒ
NT,ᎤᏴᏢ ᎢᏗᏢ ᎿᎾ ᎨᏒ
