State,Name
ACT,Rohe Matua o Ahitereiria
NSW,Niu Haute Wēra
NT,Rohe ki te Raki
QLD,Kuīnirani
SA,Ahitereiria ki te Tonga
TAS,Tahimania
VIC,Wikitōria
WA,Ahitereiria ki te Hauāuru
