State,Name
ACT,Tiriogaeth Prifddinas o Awstralia
NSW,De Cymru Newydd
NT,Tiriogaeth y Gogledd
QLD,Queensland
SA,De Awstralia
TAS,Tasmania
VIC,Victoria
WA,Gorwellin Awstralia
