State,Name
ACT,Australiese Hoofstadgebied
NSW,Nieu-Suid-Wallis
NT,Noordelike Gebied
QLD,Queensland
SA,Suid-Australië
TAS,Tasmanië
VIC,Victoria
WA,Wes-Australië
