State,Name
ACT,Australisch Hoofstedelijk Territorium
NSW,Nieuw-Zuid-Wales
NT,Noordelijk Territorium
QLD,Queensland
SA,Zuid-Australië
TAS,Tasmanië
VIC,Victoria
WA,West-Australië
